--- [ORDER INDEPENDENCE GAUNTLET v0.6.2] ---
Starting Head-to-Head Brutality Test: 3 Shuffled Batches

>>> INDEPENDENCE RUN 1/3 Starting...
--- [ROUND vs GRU: LONG-TERM COMPARISON] ---
Order: ['TOPOLOGY', 'COGITATING', 'MONISM', 'UNIVERSAL', 'RESONANCE', 'SYMMETRY']
Epochs: 10000 | ROUND Hidden: 64 | GRU Hidden: 256
E 5400 | R: 0.65 | G: 0.62
E 5500 | R: 0.71 | G: 0.62
E 5600 | R: 0.69 | G: 0.62
E 5700 | R: 0.71 | G: 0.62
E 5800 | R: 0.69 | G: 0.64
E 5900 | R: 0.67 | G: 0.60
E 6000 | R: 0.71 | G: 0.64
E 6100 | R: 0.66 | G: 0.64
E 6200 | R: 0.69 | G: 0.62
E 6300 | R: 0.69 | G: 0.62
E 6400 | R: 0.69 | G: 0.65
E 6500 | R: 0.67 | G: 0.65
E 6600 | R: 0.67 | G: 0.67
E 6700 | R: 0.66 | G: 0.78
E 6800 | R: 0.80 | G: 0.78
E 6900 | R: 0.85 | G: 0.81
E 7000 | R: 0.85 | G: 0.81
E 7100 | R: 0.83 | G: 0.81
E 7200 | R: 0.85 | G: 0.81
E 7300 | R: 0.83 | G: 0.81
E 7400 | R: 0.83 | G: 0.81
E 7500 | R: 0.85 | G: 0.81
E 7600 | R: 0.83 | G: 0.81
E 7700 | R: 0.85 | G: 0.81
E 7800 | R: 0.83 | G: 0.81
E 7900 | R: 0.83 | G: 0.81
E 8000 | R: 0.83 | G: 0.81
E 8100 | R: 0.85 | G: 0.81
E 8200 | R: 0.85 | G: 0.81
E 8300 | R: 0.83 | G: 0.81
E 8400 | R: 0.87 | G: 0.98
E 8500 | R: 0.96 | G: 0.96
E 8600 | R: 0.94 | G: 0.98
E 8700 | R: 0.98 | G: 0.95
E 8800 | R: 1.00 | G: 0.95
E 8900 | R: 1.00 | G: 0.95
E 9000 | R: 1.00 | G: 0.95
E 9100 | R: 1.00 | G: 0.95
E 9200 | R: 1.00 | G: 0.95
E 9300 | R: 1.00 | G: 0.95
E 9400 | R: 0.98 | G: 0.95
E 9500 | R: 0.98 | G: 0.96
E 9600 | R: 1.00 | G: 0.98
E 9700 | R: 1.00 | G: 0.96
E 9800 | R: 1.00 | G: 0.96
E 9900 | R: 1.00 | G: 0.98
Results saved to data\907bd6ab\benchmark_long_term_822dc5d6.png
<<< RUN 1 COMPLETE.

>>> INDEPENDENCE RUN 2/3 Starting...
--- [ROUND vs GRU: LONG-TERM COMPARISON] ---
Order: ['RESONANCE', 'TOPOLOGY', 'UNIVERSAL', 'COGITATING', 'SYMMETRY', 'MONISM']
Epochs: 10000 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.00 | G: 0.00
E  100 | R: 0.17 | G: 0.10
E  200 | R: 0.20 | G: 0.15
E  300 | R: 0.20 | G: 0.19
E  400 | R: 0.20 | G: 0.20
E  500 | R: 0.20 | G: 0.20
E  600 | R: 0.20 | G: 0.20
E  700 | R: 0.20 | G: 0.20
E  800 | R: 0.20 | G: 0.20
E  900 | R: 0.20 | G: 0.20
E 1000 | R: 0.20 | G: 0.20
E 1100 | R: 0.20 | G: 0.20
E 1200 | R: 0.20 | G: 0.20
E 1300 | R: 0.20 | G: 0.20
E 1400 | R: 0.20 | G: 0.20
E 1500 | R: 0.20 | G: 0.20
E 1600 | R: 0.20 | G: 0.20
E 1700 | R: 0.25 | G: 0.18
E 1800 | R: 0.31 | G: 0.31
E 1900 | R: 0.36 | G: 0.38
E 2000 | R: 0.38 | G: 0.38
E 2100 | R: 0.38 | G: 0.36
E 2200 | R: 0.38 | G: 0.36
E 2300 | R: 0.38 | G: 0.36
E 2400 | R: 0.38 | G: 0.36
E 2500 | R: 0.38 | G: 0.36
E 2600 | R: 0.38 | G: 0.38
E 2700 | R: 0.38 | G: 0.38
E 2800 | R: 0.38 | G: 0.38
E 2900 | R: 0.36 | G: 0.38
E 3000 | R: 0.38 | G: 0.38
E 3100 | R: 0.38 | G: 0.36
E 3200 | R: 0.40 | G: 0.36
E 3300 | R: 0.38 | G: 0.36
E 3400 | R: 0.42 | G: 0.45
E 3500 | R: 0.48 | G: 0.48
E 3600 | R: 0.42 | G: 0.48
E 3700 | R: 0.50 | G: 0.48
E 3800 | R: 0.48 | G: 0.48
E 3900 | R: 0.48 | G: 0.48
E 4000 | R: 0.50 | G: 0.50
E 4100 | R: 0.52 | G: 0.48
E 4200 | R: 0.52 | G: 0.48
E 4300 | R: 0.52 | G: 0.48
E 4400 | R: 0.52 | G: 0.48
E 4500 | R: 0.50 | G: 0.50
E 4600 | R: 0.52 | G: 0.48
E 4700 | R: 0.52 | G: 0.50
E 4800 | R: 0.52 | G: 0.50
E 4900 | R: 0.50 | G: 0.50
E 5000 | R: 0.52 | G: 0.50
E 5100 | R: 0.64 | G: 0.66
E 5200 | R: 0.65 | G: 0.66
E 5300 | R: 0.65 | G: 0.66
E 5400 | R: 0.67 | G: 0.66
E 5500 | R: 0.67 | G: 0.66
E 5600 | R: 0.67 | G: 0.66
E 5700 | R: 0.67 | G: 0.66
E 5800 | R: 0.67 | G: 0.66
E 5900 | R: 0.69 | G: 0.66
E 6000 | R: 0.69 | G: 0.66
E 6100 | R: 0.67 | G: 0.66
E 6200 | R: 0.69 | G: 0.66
E 6300 | R: 0.67 | G: 0.66
E 6400 | R: 0.67 | G: 0.68
E 6500 | R: 0.67 | G: 0.68
E 6600 | R: 0.69 | G: 0.69
E 6700 | R: 0.45 | G: 0.70
E 6800 | R: 0.68 | G: 0.79
E 6900 | R: 0.80 | G: 0.82
E 7000 | R: 0.80 | G: 0.82
E 7100 | R: 0.82 | G: 0.82
E 7200 | R: 0.81 | G: 0.80
E 7300 | R: 0.82 | G: 0.80
E 7400 | R: 0.84 | G: 0.82
E 7500 | R: 0.84 | G: 0.84
E 7600 | R: 0.81 | G: 0.82
E 7700 | R: 0.86 | G: 0.84
E 7800 | R: 0.86 | G: 0.84
E 7900 | R: 0.86 | G: 0.84
E 8000 | R: 0.81 | G: 0.84
E 8100 | R: 0.86 | G: 0.82
E 8200 | R: 0.83 | G: 0.82
E 8300 | R: 0.84 | G: 0.82
E 8400 | R: 0.87 | G: 0.98
E 8500 | R: 0.98 | G: 0.98
E 8600 | R: 0.98 | G: 0.98
E 8700 | R: 1.00 | G: 0.98
E 8800 | R: 1.00 | G: 0.98
E 8900 | R: 1.00 | G: 0.98
E 9000 | R: 1.00 | G: 0.98
E 9100 | R: 1.00 | G: 0.98
E 9200 | R: 1.00 | G: 0.98
E 9300 | R: 1.00 | G: 0.98
E 9400 | R: 1.00 | G: 1.00
E 9500 | R: 0.96 | G: 1.00
E 9600 | R: 0.96 | G: 1.00
E 9700 | R: 1.00 | G: 0.98
E 9800 | R: 0.98 | G: 1.00
E 9900 | R: 1.00 | G: 1.00
Results saved to data\907bd6ab\benchmark_long_term_50bad2d4.png
<<< RUN 2 COMPLETE.

>>> INDEPENDENCE RUN 3/3 Starting...
--- [ROUND vs GRU: LONG-TERM COMPARISON] ---
Order: ['COGITATING', 'RESONANCE', 'UNIVERSAL', 'TOPOLOGY', 'SYMMETRY', 'MONISM']
Epochs: 10000 | ROUND Hidden: 64 | GRU Hidden: 256
E    0 | R: 0.06 | G: 0.00
E  100 | R: 0.25 | G: 0.09
E  200 | R: 0.28 | G: 0.18
E  300 | R: 0.26 | G: 0.24
E  400 | R: 0.26 | G: 0.26
E  500 | R: 0.26 | G: 0.26
E  600 | R: 0.26 | G: 0.26
E  700 | R: 0.26 | G: 0.26
E  800 | R: 0.26 | G: 0.26
E  900 | R: 0.26 | G: 0.26
E 1000 | R: 0.26 | G: 0.26
E 1100 | R: 0.26 | G: 0.26
E 1200 | R: 0.26 | G: 0.26
E 1300 | R: 0.26 | G: 0.26
E 1400 | R: 0.26 | G: 0.26
E 1500 | R: 0.26 | G: 0.26
E 1600 | R: 0.26 | G: 0.26
E 1700 | R: 0.20 | G: 0.27
E 1800 | R: 0.38 | G: 0.39
E 1900 | R: 0.38 | G: 0.37
E 2000 | R: 0.38 | G: 0.37
E 2100 | R: 0.38 | G: 0.39
E 2200 | R: 0.38 | G: 0.39
E 2300 | R: 0.38 | G: 0.39
E 2400 | R: 0.41 | G: 0.39
E 2500 | R: 0.41 | G: 0.39
E 2600 | R: 0.38 | G: 0.39
E 2700 | R: 0.41 | G: 0.39
E 2800 | R: 0.41 | G: 0.41
E 2900 | R: 0.41 | G: 0.39
E 3000 | R: 0.41 | G: 0.41
E 3100 | R: 0.41 | G: 0.41
E 3200 | R: 0.41 | G: 0.41
E 3300 | R: 0.41 | G: 0.41
E 3400 | R: 0.45 | G: 0.54
E 3500 | R: 0.50 | G: 0.54
E 3600 | R: 0.58 | G: 0.55
E 3700 | R: 0.58 | G: 0.53
E 3800 | R: 0.40 | G: 0.53
E 3900 | R: 0.53 | G: 0.53
E 4000 | R: 0.52 | G: 0.53
E 4100 | R: 0.55 | G: 0.53
E 4200 | R: 0.56 | G: 0.53
E 4300 | R: 0.55 | G: 0.53
E 4400 | R: 0.55 | G: 0.50
E 4500 | R: 0.55 | G: 0.53
E 4600 | R: 0.52 | G: 0.50
E 4700 | R: 0.55 | G: 0.53
E 4800 | R: 0.55 | G: 0.50
E 4900 | R: 0.55 | G: 0.50
E 5000 | R: 0.55 | G: 0.50
E 5100 | R: 0.66 | G: 0.64
E 5200 | R: 0.66 | G: 0.66
E 5300 | R: 0.69 | G: 0.66
E 5400 | R: 0.68 | G: 0.66
E 5500 | R: 0.69 | G: 0.66
E 5600 | R: 0.72 | G: 0.66
E 5700 | R: 0.72 | G: 0.66
E 5800 | R: 0.69 | G: 0.66
E 5900 | R: 0.69 | G: 0.66
E 6000 | R: 0.69 | G: 0.66
E 6100 | R: 0.69 | G: 0.66
E 6200 | R: 0.72 | G: 0.66
E 6300 | R: 0.68 | G: 0.63
E 6400 | R: 0.69 | G: 0.65
E 6500 | R: 0.69 | G: 0.65
E 6600 | R: 0.69 | G: 0.65
E 6700 | R: 0.31 | G: 0.67
E 6800 | R: 0.75 | G: 0.81
E 6900 | R: 0.77 | G: 0.81
E 7000 | R: 0.73 | G: 0.83
E 7100 | R: 0.84 | G: 0.82
E 7200 | R: 0.89 | G: 0.82
E 7300 | R: 0.89 | G: 0.82
E 7400 | R: 0.89 | G: 0.82
E 7500 | R: 0.83 | G: 0.80
E 7600 | R: 0.89 | G: 0.80
E 7700 | R: 0.89 | G: 0.82
E 7800 | R: 0.89 | G: 0.82
E 7900 | R: 0.86 | G: 0.82
E 8000 | R: 0.86 | G: 0.82
E 8100 | R: 0.86 | G: 0.82
E 8200 | R: 0.86 | G: 0.82
E 8300 | R: 0.86 | G: 0.82
E 8400 | R: 0.96 | G: 0.96
E 8500 | R: 1.00 | G: 0.98
E 8600 | R: 0.98 | G: 0.98
E 8700 | R: 1.00 | G: 0.98
E 8800 | R: 1.00 | G: 0.98
E 8900 | R: 0.93 | G: 0.98
E 9000 | R: 1.00 | G: 0.98
E 9100 | R: 1.00 | G: 0.98
E 9200 | R: 1.00 | G: 1.00
E 9300 | R: 0.98 | G: 0.98
E 9400 | R: 1.00 | G: 1.00
E 9500 | R: 1.00 | G: 1.00
E 9600 | R: 1.00 | G: 1.00
E 9700 | R: 1.00 | G: 1.00
E 9800 | R: 0.97 | G: 1.00
E 9900 | R: 0.98 | G: 1.00
Results saved to data\907bd6ab\benchmark_long_term_7c6831a7.png
<<< RUN 3 COMPLETE.

==================================================
FINAL GAUNTLET SUMMARY (Aggregate Shuffled Order)
==================================================
Word         | ROUND Mean    | GRU Mean      | Status
-----------------------------------------------------
COGITATING   |      100.0% |       96.7% | PERFECT (+3.3%)
TOPOLOGY     |      100.0% |      100.0% | PERFECT (+0.0%)
MONISM       |      100.0% |      100.0% | PERFECT (+0.0%)
RESONANCE    |      100.0% |      100.0% | PERFECT (+0.0%)
UNIVERSAL    |      100.0% |      100.0% | PERFECT (+0.0%)
SYMMETRY     |      100.0% |      100.0% | PERFECT (+0.0%)
==================================================
Gauntlet Log: data\907bd6ab\log_order_independence_907bd6ab.txt
